"Bosnia and Herzegovina",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8910,7876,5679,3928,4034,4276,6594,9010,10508,11508,12131,12457,13085,13594,14453,15017,15871,16820,17761,17278,17424,17591,17378,17806,18000,18500
Brazil,135821,142306,150779,158039,168497,180847,183453,198721,216751,234934,254483,273568,290262,293272,303170,309283,328646,341866,372338,404827,444639,489758,542542,610592,658752,693103,758329,793797,833609,892818,971572,928875,934243,902374,950813,1026296,1108635,1145779,1143081,1180535,1130698,1142345,1136176,1192076,1261812,1315061,1343341,1388683,1389174,1392703,1452676,1471751,1510872,1528196,1615491,1666535,1732480,1838013,1933067,1926693,2071844,2128464,2150409,2204017,2207206,2180720
Bulgaria,10500,12700,12100,13500,13200,14200,14200,15700,17000,18400,20100,21400,23200,24300,26200,27700,29900,31500,32100,33700,35600,36800,38500,40000,41300,44700,46000,45600,46568,48360,46972,48221,49780,48840,50455,48934,50228,50323,50007,49111,43747,40072,37147,36590,37248,38300,34900,34500,35700,33700,35700,37100,38700,40791,43466,46055,49035,52422,55439,52660,53005,54056,54322,54901,55837,56264
"Burkina Faso",1047,1087,1127,1168,1211,1256,1303,1350,1400,1450,1490,1550,1650,1630,1670,1730,1740,1890,1950,1990,1990,2070,2160,2040,2000,1920,1900,2030,2270,2290,2330,2430,2485,2457,2497,2823,3266,3211,3478,3438,3405,3714,3722,3851,3902,4125,4579,4868,5224,5550,5655,6029,6291,6782,7086,7700,8181,8518,9012,9278,10062,10729,11583,12364,12861,13629
"Burma (Myanmar)",2080,2380,2440,2500,2345,2650,2826,2992,2910,3361,3473,3557,3867,3976,4047,4150,3976,4088,4357,4537,4742,4897,4933,4952,5214,5430,5761,6105,6499,6805,7388,7806,8229,8588,9011,9268,9170,8803,7803,8092,8320,8265,9064,9611,10330,11048,11760,12424,13153,14593,16599,18482,20700,23600,26800,30400,34400,38500,42400,46900,51700,54500,58600,63000,67900,73500
Cambodia,759,785,834,842,940,921,1043,1114,1170,1284,1360,1348,1458,1568,1525,1598,1671,1757,1836,1864,1685,1601,1515,2063,1763,1529,1638,1767,1931,1970,2009,2033,2190,2345,2503,2660,2817,2761,2830,2899,2900,3120,3340,3476,3796,4044,4260,4501,4724,5317,5765,6207,6642,7207,7952,9006,9976,10994,11700,11700,12400,13300,14300,15400,16400,17600
Cameroon,3649,3785,3923,4066,4215,4372,4533,4701,4876,5055,5193,5255,5416,5617,5817,5934,6211,6383,6799,7135,7350,7569,7897,8014,8372,8803,8970,9481,10000,10543,11620,13602,14600,15700,16882,18393,19722,18740,17886,16284,16018,15415,14944,14473,14455,15041,15798,16638,17452,18161,18919,19773,20566,21395,22187,22697,23429,24191,24889,25400,26200,27300,28500,30100,31700,33300
Canada,198301,209551,224800,235305,233678,255501,276171,284168,289251,300977,310328,319486,341870,359166,382569,408006,434460,447688,471089,495922,508734,537065,565443,605936,630688,644937,680259,703121,731555,761964,772160,796132,771883,794350,839896,885308,908499,945539,991496,1015491,1018011,996426,1004939,1030000,1080000,1110000,1130000,1170000,1220000,1280000,1350000,1370000,1410000,1440000,1480000,1530000,1570000,1600000,1620000,1580000,1630000,1680000,1710000,1740000,1790000,1820000
Chile,20359,21247,22615,24319,23532,24417,24828,27400,28900,27200,29500,30900,32400,34400,35200,35500,39400,40700,42200,43700,44600,48600,48100,45400,45800,39900,41300,45400,49100,53200,57400,61000,52681,51205,54219,55300,58400,62200,66800,73800,76500,82600,92800,99300,105000,116000,125000,134000,139000,138000,145000,150000,154000,160000,171000,182000,192000,202000,209000,207000,218000,231000,244000,254000,258000,266000
China,145000,162000,180000,189000,196000,207000,226000,239000,266000,270000,261000,215000,216000,238000,266000,296000,324000,314785,308482,334931,375882,394594,406126,436357,443740,471136,468316,497545,551829,594384,614419,651147,700134,759530,854087,942271,1005403,1111249,1189736,1210856,1253369,1340000,1470000,1610000,1770000,2040000,2080000,2190000,2190000,2340000,2550000,2820000,3170000,3651774,4020603,4474931,5043247,5759388,6312289,6893020,7609894,8317614,8958071,9647842,10361782,11035298
Colombia,24900,25700,27300,29000,31000,32200,33500,34800,35600,38200,39800,41800,44100,45600,48400,50100,52800,55009,58378,62095,66285,70226,75611,80700,85341,87317,91456,95250,103330,108868,113336,115749,116898,118765,122995,127000,135000,142000,148000,153000,159000,163000,170000,180000,189000,199000,203000,210000,211000,202000,208000,211000,217000,225000,237000,248000,265000,283000,293000,298000,310000,330000,344000,360000,376000,388000
"Congo (Kinshasa)",11577,12932,14112,14911,15814,16428,17539,18095,17574,18187,18604,16578,20098,21151,20630,20839,22251,22031,22980,25122,25064,26662,26697,29012,30008,28514,26882,27021,25493,25458,25990,26604,26477,26847,28341,28468,29811,30610,30783,30575,29834,27322,24453,21159,20334,20476,20267,19129,18818,18014,16769,16417,16901,17844,19046,20215,21290,22623,24032,24718,26475,28294,30300,32870,35859,38729
"Costa Rica",1920,1970,2210,2540,2570,2862,2781,3017,3391,3516,3821,3980,4224,4586,4809,5244,5653,5999,6461,6891,7346,7831,8520,9184,9678,9872,10409,11338,12039,12637,12730,12443,11576,11897,12831,12939,13651,14301,14787,15636,16203,16570,18087,19428,20347,21144,21332,22522,24413,26420,26896,27186,27975,29766,31034,32861,35746,38583,39636,39234,41178,43035,45244,46826,48467,50308
"Ivory Coast",3280,3400,3520,3650,3790,3930,4070,4220,4380,4540,4950,5410,5650,6580,7750,7580,8180,8300,9600,10000,11100,11700,12300,13300,13700,13700,15300,16000,17600,17900,19300,20000,20000,19200,18600,19500,20100,19800,19400,19300,18000,18000,17900,17808,18190,19473,20786,21967,23094,23543,22915,22941,22559,22251,22526,22914,23074,23444,23987,24899,25495,24297,26679,29082,31257,34092
Croatia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,57906,57965,58023,57088,58316,58374,60012,59954,59427,58491,54338,42873,37857,34828,36883,39391,41705,44476,45300,44900,46600,48200,50700,53500,55700,58000,60800,63900,65200,60400,59400,59200,57900,57400,57200,57300
Cyprus,1647,1613,1772,1949,1987,2058,2284,2428,2360,2500,2315,2572,2803,2976,2692,3294,3495,3970,4153,4540,4680,5287,5652,5796,4816,3901,4602,5327,5735,6301,6674,6877,7310,7699,8378,8771,9105,9748,10554,11407,12252,12338,13493,13588,14376,15803,16059,16445,17283,18092,19119,19803,20440,21010,21930,22778,23806,24971,25875,25347,25699,25767,25152,23805,23268,23501
"Czech Republic",,,,,,,,,,,,,,,,,,,,,81900,86200,90700,95000,99600,105000,109000,113000,118000,119000,121000,121000,119000,121000,124000,127000,130000,133000,136000,138000,140000,123000,123000,123000,127000,134000,140000,139000,139000,141000,147000,151000,154000,159000,167000,178000,190000,201000,206000,196000,201000,205000,203000,202000,206000,212000
Denmark,75607,76100,76856,81229,82807,83699,84700,91100,93200,100000,103000,109000,115000,116000,127000,133000,137000,141000,147000,156000,159000,164000,172000,179000,177000,176000,187097,190133,192941,199779,198897,197127,203000,208000,217000,227000,235000,236000,238000,239000,242000,245000,250000,250000,263000,271000,279000,288000,295000,304000,315000,318000,319000,320000,329000,337000,350000,352000,350000,332000,337000,341000,339000,337000,341000,347000
"Dominican Republic",2547,2847,3079,3040,3214,3412,3755,3992,4205,4229,4437,4336,5075,5406,5768,5050,5728,5921,5932,6582,7279,8050,9045,10137,10721,11235,11992,12575,12867,13421,14241,14830,15098,15768,15810,15410,15871,17064,17181,19370,18449,18623,20581,22068,22576,23816,25515,27557,29489,31469,33250,33851,35810,35720,36188,39540,43760,47468,48961,49419,53522,55088,56553,59145,63463,66700
Ecuador,6950,7026,7893,8059,8710,8939,9270,9688,9972,10506,11188,11470,12080,12387,13260,14537,14918,15708,16577,17484,18709,19786,21004,23622,25004,26318,28868,30700,32800,34600,36200,37700,38100,37300,38800,40500,41700,39100,43200,43300,44600,46500,47500,48400,50500,51600,52500,54800,56600,53900,54500,56700,59000,60600,65600,69000,72100,73700,78300,78800,81600,88000,92600,96900,101000,102000
Egypt,12539,12765,13003,13228,13467,13718,14370,15047,15761,16514,17304,18445,19673,20990,22394,23874,24012,23711,24087,25742,27372,28513,29053,29855,30996,34131,39410,44551,47974,51760,57353,59635,66000,71083,75421,80399,82518,84600,88148,90794,92963,98143,104051,108965,112707,117507,123198,129739,135886,142799,150990,157678,162963,168096,174189,181679,192005,205388,220017,232949,244406,252745,257766,263307,268920,277289
Estonia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12700,13200,13700,14200,14500,14500,14900,15100,15800,16847,15457,13911,11950,10934,10755,11457,12100,13600,14500,14400,15900,16900,17900,19200,20500,22400,24700,26700,25300,21500,22100,23900,25000,25400,26000,26500
Ethiopia,3795,3901,4011,4243,4243,4470,4618,4584,4736,4865,5115,5366,5586,6326,6637,7028,7301,7609,7738,8026,8482,8838,9290,9597,9715,9730,9996,10269,10155,10808,11282,11514,11696,12292,12037,11233,11961,13085,13339,13555,13343,12449,11423,11684,12745,13335,14627,15803,15785,15900,16500,17700,18500,18400,19400,21600,23800,26300,28900,31600,34800,38800,42500,46300,50800,55300
